DATE,POPTOTIEA647NWDB
1/1/1960,2828600
1/1/1961,2824400
1/1/1962,2836050
1/1/1963,2852650
1/1/1964,2866550
1/1/1965,2877300
1/1/1966,2888800
1/1/1967,2902450
1/1/1968,2915550
1/1/1969,2932650
1/1/1970,2957250
1/1/1971,2992050
1/1/1972,3036850
1/1/1973,3085950
1/1/1974,3137500
1/1/1975,3189550
1/1/1976,3238050
1/1/1977,3282200
1/1/1978,3329100
1/1/1979,3373750
1/1/1980,3412800
1/1/1981,3453000
1/1/1982,3485800
1/1/1983,3510600
1/1/1984,3532423
1/1/1985,3538082
1/1/1986,3539690
1/1/1987,3540057
1/1/1988,3524949
1/1/1989,3511009
1/1/1990,3513974
1/1/1991,3534235
1/1/1992,3558430
1/1/1993,3576261
1/1/1994,3590386
1/1/1995,3608841
1/1/1996,3637510
1/1/1997,3674171
1/1/1998,3712696
1/1/1999,3754786
1/1/2000,3805174
1/1/2001,3866243
1/1/2002,3931947
1/1/2003,3996521
1/1/2004,4070262
1/1/2005,4159914
1/1/2006,4273591
1/1/2007,4398942
1/1/2008,4489544
1/1/2009,4535375
1/1/2010,4560155
1/1/2011,4580084
1/1/2012,4599533
1/1/2013,4623816
1/1/2014,4657740
1/1/2015,4701957
1/1/2016,4755335
1/1/2017,4807388
1/1/2018,4867316
1/1/2019,4934340
1/1/2020,4994724
