DATE,CLVMNACNSAB1GQDE
1/1/1991,500472.7
4/1/1991,506049
7/1/1991,511834.4
10/1/1991,525844.9
1/1/1992,514901.4
4/1/1992,513228.5
7/1/1992,522220.3
10/1/1992,533094.1
1/1/1993,502424.4
4/1/1993,509534.2
7/1/1993,519641.3
10/1/1993,531490.9
1/1/1994,514134.7
4/1/1994,520477.7
7/1/1994,531003
10/1/1994,546965.1
1/1/1995,525217.6
4/1/1995,530375.6
7/1/1995,538112.7
10/1/1995,551426.2
1/1/1996,524241.7
4/1/1996,534069.9
7/1/1996,545710.5
10/1/1996,558605.6
1/1/1997,525844.9
4/1/1997,549544.2
7/1/1997,556235.7
10/1/1997,569618.8
1/1/1998,548359.2
4/1/1998,553377.9
7/1/1998,566621.6
10/1/1998,577355.9
1/1/1999,553168.8
4/1/1999,562578.8
7/1/1999,577146.8
10/1/1999,595200.1
1/1/2000,576658.9
4/1/2000,584744.5
7/1/2000,591714.9
10/1/2000,601403.7
1/1/2001,589275.3
4/1/2001,593945.4
7/1/2001,600288.5
10/1/2001,610744
1/1/2002,579307.7
4/1/2002,594084.8
7/1/2002,605098
10/1/2002,610953.1
1/1/2003,576658.9
4/1/2003,585859.8
7/1/2003,600637
10/1/2003,609489.4
1/1/2004,586208.3
4/1/2004,596733.6
7/1/2004,603285.7
10/1/2004,614508
1/1/2005,582235.2
4/1/2005,603494.8
7/1/2005,610395.5
10/1/2005,622036
1/1/2006,607189.1
4/1/2006,619805.5
7/1/2006,632003.7
10/1/2006,651381.3
1/1/2007,631655.1
4/1/2007,639252.9
7/1/2007,650614.6
10/1/2007,663718.9
1/1/2008,644132.1
4/1/2008,657933.5
7/1/2008,656957.6
10/1/2008,651032.8
1/1/2009,601055.2
4/1/2009,605795.1
7/1/2009,620920.8
10/1/2009,633606.9
1/1/2010,616250.6
4/1/2010,634652.4
7/1/2010,650056.9
10/1/2010,663440
1/1/2011,655633.2
4/1/2011,658630.5
7/1/2011,673965.3
10/1/2011,676544.3
1/1/2012,665391.8
4/1/2012,661418.6
7/1/2012,673477.4
10/1/2012,675847.3
1/1/2013,655145.3
4/1/2013,666855.5
7/1/2013,681423.6
10/1/2013,684281.5
1/1/2014,676265.5
4/1/2014,676265.5
7/1/2014,693830.9
10/1/2014,700940.6
1/1/2015,683026.8
4/1/2015,686581.7
7/1/2015,704356.1
10/1/2015,714184.4
1/1/2016,697804
4/1/2016,711117.4
7/1/2016,717460.4
10/1/2016,723942.9
1/1/2017,722897.3
4/1/2017,720666.8
7/1/2017,736768.4
10/1/2017,746387.5
1/1/2018,733074.1
4/1/2018,736489.6
7/1/2018,739974.7
10/1/2018,748966.5
1/1/2019,744366.1
4/1/2019,737395.7
7/1/2019,753357.9
10/1/2019,754473.1
1/1/2020,733074.1
4/1/2020,653820.9
7/1/2020,726312.8
10/1/2020,740044.4
1/1/2021,710978
4/1/2021,724361.1
7/1/2021,746945.1
10/1/2021,753497.3
