DATE,ND000334Q
1/1/2002,3263.869
4/1/2002,3362.508
7/1/2002,3401.82
10/1/2002,3460.159
1/1/2003,3340.163
4/1/2003,3429.079
7/1/2003,3498.914
10/1/2003,3597.364
1/1/2004,3484.837
4/1/2004,3575.515
7/1/2004,3617.667
10/1/2004,3721.678
1/1/2005,3603.67
4/1/2005,3701.582
7/1/2005,3767.844
10/1/2005,3828.173
1/1/2006,3729.338
4/1/2006,3836.061
7/1/2006,3833.693
10/1/2006,3916.851
1/1/2007,3785.119
4/1/2007,3896.72
7/1/2007,3926.744
10/1/2007,4015.289
1/1/2008,3902.77
4/1/2008,3934.652
7/1/2008,3910.393
10/1/2008,3895.147
1/1/2009,3703.443
4/1/2009,3782.545
7/1/2009,3823.607
10/1/2009,3926.667
1/1/2010,3776.48
4/1/2010,3900.64
7/1/2010,3945.123
10/1/2010,4026.748
1/1/2011,3871.183
4/1/2011,3957.95
7/1/2011,3983.907
10/1/2011,4078.494
1/1/2012,3986.349
4/1/2012,4046.533
7/1/2012,4083.025
10/1/2012,4138.064
1/1/2013,4017.571
4/1/2013,4104.203
7/1/2013,4170.71
10/1/2013,4260.864
1/1/2014,4079.517
4/1/2014,4194.264
7/1/2014,4287.261
10/1/2014,4371.009
1/1/2015,4212.523
4/1/2015,4343.294
7/1/2015,4389.955
10/1/2015,4444.522
1/1/2016,4288.31
4/1/2016,4407.286
7/1/2016,4449.603
10/1/2016,4535.075
1/1/2017,4339.869
4/1/2017,4512.677
7/1/2017,4559.849
10/1/2017,4666.689
1/1/2018,4499.676
4/1/2018,4646.954
7/1/2018,4689.736
10/1/2018,4770.421
1/1/2019,4584.716
4/1/2019,4750.325
7/1/2019,4796.775
10/1/2019,4900.857
1/1/2020,4615.632
4/1/2020,4302.01
7/1/2020,4660.359
10/1/2020,4806.686
1/1/2021,4631.328
4/1/2021,4842.207
7/1/2021,4881.135
10/1/2021,5064.93
1/1/2022,4829.9
