Date,consumer_sentiment,farmer_sentiment,steak_prices
4/1/2016,0.068675562,-0.042805524,18.549
1/1/2017,0.152915878,0.051088719,19.848
6/1/2017,0.123968028,0.023762015,19.0085
7/1/2017,0.061259858,0.087949923,18.706
8/1/2017,0.112077887,0.017778612,18.5045
9/1/2017,0.061909857,0.059698927,19.65
10/1/2017,-0.016363636,0.083013936,19.1305
11/1/2017,0.067080026,0.014704627,18.5435
12/1/2017,0.146014465,-0.003121212,17.7785
6/1/2019,0.07,-0.016806037,17.5765
9/1/2019,0.062029212,0.050846631,18.1945
11/1/2019,0.062404653,0.04161055,17.5545
12/1/2019,0.049360277,0.023965758,18.0625
1/1/2020,0.093384014,0.179545455,17.5275
2/1/2020,0.070828594,0.058633634,17.2815
3/1/2020,0.084441872,0.080147059,18.3975
4/1/2020,0.074937383,0.081412338,17.6435
7/1/2020,0.133541758,0.102351819,17.1985
8/1/2020,0.084897729,0.107126845,17.4525
9/1/2020,0.135094965,0.103647735,17.401
10/1/2020,0.102108025,0.098325843,17.4525
11/1/2020,0.118779197,0.128080076,17.4305
12/1/2020,0.109251673,0.071315346,17.3715
1/1/2021,0.108785527,0.144274482,17.0585
2/1/2021,0.163816718,0.083604784,16.751
3/1/2021,0.085742026,0.058760511,17.253
4/1/2021,0.113470568,0.114976917,17.2585
5/1/2021,0.107574345,0.044357401,16.8795
6/1/2021,0.100127102,0.046562514,16.9695
7/1/2021,0.097588532,0.082775975,16.987
8/1/2021,0.084329638,0.09339164,17.041
9/1/2021,0.118173673,0.092410826,17.199
10/1/2021,0.113768627,0.0881213,17.193
11/1/2021,0.112656443,0.125406782,16.81
12/1/2021,0.125087779,0.089244649,17.309
1/1/2022,0.116011562,0.066921652,17.3475
2/1/2022,0.007872853,0.104565116,17.362
3/1/2022,0.086015794,0.077840539,17.871
